battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
842,False,2.2,False,1,False,7,0.6,188.0,2,2,20.0,756.0,2549,9,7,19,False,False,True,Medium Cost
1021,True,0.5,True,0,True,53,0.7,136.0,3,6,905.0,1988.0,2631,17,3,7,True,True,False,High Cost
563,True,0.5,True,2,True,41,0.9,145.0,5,6,1263.0,1716.0,2603,11,2,9,True,True,False,High Cost
615,True,2.5,False,0,False,10,0.8,131.0,6,9,1216.0,1786.0,2769,16,8,11,True,False,False,High Cost
1821,True,1.2,False,13,True,44,0.6,141.0,2,14,1208.0,1212.0,1411,8,2,15,True,True,False,Medium Cost
1859,False,0.5,True,3,False,22,0.7,164.0,1,7,1004.0,1654.0,1067,17,1,10,True,False,False,Medium Cost
1821,False,1.7,False,4,True,10,0.8,139.0,8,10,381.0,1018.0,3220,13,8,18,True,False,True,Very High Cost
1954,False,0.5,True,0,False,24,0.8,187.0,4,0,512.0,1149.0,700,16,3,5,True,True,True,low Cost
1445,True,0.5,False,0,False,53,0.7,174.0,7,14,386.0,836.0,1099,17,1,20,True,False,False,low Cost
509,True,0.6,True,2,True,9,0.1,93.0,5,15,1137.0,1224.0,513,19,10,12,True,False,False,low Cost
769,True,2.9,True,0,False,9,0.1,182.0,5,1,248.0,874.0,3946,5,2,7,False,False,False,Very High Cost
1520,True,2.2,False,5,True,33,0.5,177.0,8,18,151.0,1005.0,3826,14,9,13,True,True,True,Very High Cost
1815,False,2.8,False,2,False,33,0.6,159.0,4,17,607.0,748.0,1482,18,0,2,True,False,False,Medium Cost
803,True,2.1,False,7,False,17,1.0,198.0,4,11,344.0,1440.0,2680,7,1,4,True,False,True,High Cost
1866,False,0.5,False,13,True,52,0.7,185.0,1,17,356.0,563.0,373,14,9,3,True,False,True,low Cost
775,False,1.0,False,3,False,46,0.7,159.0,2,16,862.0,1864.0,568,17,15,11,True,True,True,low Cost
838,False,0.5,False,1,True,13,0.1,196.0,8,4,984.0,1850.0,3554,10,9,19,True,False,True,Very High Cost
595,False,0.9,True,7,True,23,0.1,121.0,3,17,441.0,810.0,3752,10,2,18,True,True,False,Very High Cost
1131,True,0.5,True,11,False,49,0.6,101.0,5,18,658.0,878.0,1835,19,13,16,True,True,False,Medium Cost
682,True,0.5,False,4,False,19,1.0,121.0,4,11,902.0,1064.0,2337,11,1,18,False,True,True,Medium Cost
772,False,1.1,True,12,False,39,0.8,81.0,7,14,1314.0,1854.0,2819,17,15,3,True,True,False,Very High Cost
1709,True,2.1,False,1,False,13,1.0,156.0,2,2,974.0,1385.0,3283,17,1,15,True,False,False,Very High Cost
1949,False,2.6,True,4,False,47,0.3,199.0,4,7,407.0,822.0,1433,11,5,20,False,False,True,Medium Cost
1602,True,2.8,True,4,True,38,0.7,114.0,3,20,466.0,788.0,1037,8,7,20,True,False,False,low Cost
503,False,1.2,True,5,True,8,0.4,111.0,3,13,201.0,1245.0,2583,11,0,12,True,False,False,Medium Cost
961,True,1.4,True,0,True,57,0.6,114.0,8,3,291.0,1434.0,2782,18,9,7,True,True,True,High Cost
519,True,1.6,True,7,True,51,0.3,132.0,4,19,550.0,645.0,3763,16,1,4,True,False,True,Very High Cost
956,False,0.5,False,1,True,41,1.0,143.0,7,6,511.0,1075.0,3286,17,8,12,True,True,False,Very High Cost
1453,False,1.6,True,12,True,52,0.3,96.0,2,18,187.0,1311.0,2373,10,1,10,True,True,True,High Cost
851,False,0.5,False,3,False,21,0.4,200.0,5,7,1171.0,1263.0,478,12,7,10,True,False,True,low Cost
1579,True,0.5,True,0,False,5,0.2,88.0,7,9,1358.0,1739.0,3532,17,11,12,False,False,True,Very High Cost
1568,True,0.5,False,16,False,33,1.0,150.0,8,20,413.0,654.0,508,5,1,6,True,True,True,low Cost
1319,True,0.9,False,3,True,41,0.9,107.0,1,18,85.0,1152.0,2227,18,5,3,True,True,True,Medium Cost
1310,True,2.2,True,0,True,51,0.6,100.0,4,0,178.0,1919.0,3845,7,0,12,True,True,False,Very High Cost
644,True,2.7,False,0,False,22,0.7,157.0,8,3,311.0,881.0,1262,12,1,15,True,False,False,low Cost
725,False,1.3,True,16,False,60,0.4,160.0,8,17,1134.0,1249.0,1326,10,4,15,True,False,False,Medium Cost
589,True,2.3,True,1,False,61,0.6,160.0,4,10,429.0,815.0,2113,13,7,2,True,False,True,Medium Cost
1725,True,1.6,True,6,True,6,0.5,119.0,2,18,609.0,1307.0,3429,6,5,4,True,True,False,Very High Cost
790,False,2.0,True,16,True,11,0.3,87.0,6,17,347.0,730.0,3169,6,1,2,True,False,True,High Cost
560,False,0.5,True,15,False,50,0.3,159.0,2,20,1448.0,1613.0,2150,18,12,11,True,True,False,High Cost
1347,False,2.9,False,5,False,44,0.6,132.0,1,14,434.0,967.0,2484,18,2,11,True,False,True,High Cost
1646,True,2.3,False,8,True,41,0.2,185.0,2,10,1725.0,1932.0,3339,18,10,19,True,True,False,Very High Cost
1253,True,0.5,True,5,True,5,0.2,152.0,2,19,685.0,714.0,1878,15,0,4,True,True,False,Medium Cost
1656,False,1.0,False,5,True,34,0.1,166.0,3,7,880.0,1456.0,1629,15,12,14,True,True,False,Medium Cost
1195,True,2.8,False,1,True,20,0.8,110.0,2,14,1580.0,1652.0,504,9,3,12,True,True,False,low Cost
1514,False,2.9,False,0,False,27,0.2,118.0,3,1,186.0,1810.0,1152,8,3,20,False,True,True,Medium Cost
1723,True,1.1,True,1,False,42,1.0,164.0,8,14,202.0,1791.0,3587,10,5,3,True,False,False,Very High Cost
1054,True,1.8,True,3,True,40,0.8,196.0,7,10,27.0,774.0,2296,16,12,12,True,False,True,Medium Cost
578,True,2.6,True,2,True,57,0.2,162.0,8,8,1025.0,1433.0,1270,15,3,5,True,False,True,low Cost
596,False,2.1,True,9,False,64,0.8,111.0,8,15,885.0,1854.0,3238,16,13,10,False,False,False,Very High Cost
1547,True,3.0,True,2,True,14,0.7,198.0,3,19,1042.0,1832.0,2059,5,0,15,True,False,True,High Cost
1760,False,1.4,True,5,False,63,0.8,127.0,8,19,1382.0,1383.0,2053,19,12,16,False,True,False,High Cost
1654,True,1.5,True,0,True,43,0.3,109.0,2,0,546.0,629.0,3112,12,5,10,True,True,False,Very High Cost
1457,False,1.9,True,1,True,16,0.3,102.0,3,10,1013.0,1287.0,1440,17,8,12,True,False,True,Medium Cost
